"","game_id","team","point_diff","week","season"
"120","2010_09_DAL_GB","GB",38,9,2010
"121","2010_09_IND_PHI","PHI",2,9,2010
"122","2010_09_KC_OAK","LV",3,9,2010
"123","2010_09_MIA_BAL","BAL",16,9,2010
"124","2010_09_NE_CLE","CLE",20,9,2010
"125","2010_09_NO_CAR","CAR",-31,9,2010
"126","2010_09_NYG_SEA","SEA",-34,9,2010
"127","2010_09_NYJ_DET","DET",-3,9,2010
"128","2010_09_PIT_CIN","CIN",-6,9,2010
"129","2010_09_SD_HOU","HOU",-6,9,2010
"130","2010_09_TB_ATL","ATL",6,9,2010
"131","2010_10_BAL_ATL","ATL",5,10,2010
"132","2010_10_CAR_TB","TB",15,10,2010
"133","2010_10_CIN_IND","IND",6,10,2010
"134","2010_10_DAL_NYG","NYG",-13,10,2010
"135","2010_10_DET_BUF","BUF",2,10,2010
"136","2010_10_HOU_JAX","JAX",7,10,2010
"137","2010_10_KC_DEN","DEN",20,10,2010
"138","2010_10_MIN_CHI","CHI",14,10,2010
"139","2010_10_NE_PIT","PIT",-13,10,2010
"140","2010_10_NYJ_CLE","CLE",-6,10,2010
"141","2010_10_PHI_WAS","WAS",-31,10,2010
"142","2010_10_SEA_ARI","ARI",-18,10,2010
"143","2010_10_STL_SF","SF",3,10,2010
"144","2010_10_TEN_MIA","MIA",12,10,2010
"145","2010_11_ARI_KC","KC",18,11,2010
"146","2010_11_ATL_STL","LA",-17,11,2010
"147","2010_11_BAL_CAR","CAR",-24,11,2010
"148","2010_11_BUF_CIN","CIN",-18,11,2010
"149","2010_11_CHI_MIA","MIA",-16,11,2010
"150","2010_11_CLE_JAX","JAX",4,11,2010
"151","2010_11_DEN_SD","LAC",21,11,2010
"152","2010_11_DET_DAL","DAL",16,11,2010
"153","2010_11_GB_MIN","MIN",-28,11,2010
"154","2010_11_HOU_NYJ","NYJ",3,11,2010
"155","2010_11_IND_NE","NE",3,11,2010
"156","2010_11_NYG_PHI","PHI",10,11,2010
"157","2010_11_OAK_PIT","PIT",32,11,2010
"158","2010_11_SEA_NO","NO",15,11,2010
