"","game_id","week","season","team","opponent","fg_pct","winner","point_diff_real"
"1","2010_01_ARI_STL",1,2010,"LA","ARI",0.666666666666667,"ARI",-4
"2","2010_01_ATL_PIT",1,2010,"PIT","ATL",0.6,"PIT",6
"3","2010_01_BAL_NYJ",1,2010,"NYJ","BAL",1,"BAL",-1
"4","2010_01_CAR_NYG",1,2010,"NYG","CAR",1,"NYG",13
"5","2010_01_CIN_NE",1,2010,"NE","CIN",0.333333333333333,"NE",14
"6","2010_01_CLE_TB",1,2010,"TB","CLE",1,"TB",3
"7","2010_01_DAL_WAS",1,2010,"WAS","DAL",1,"WAS",6
"8","2010_01_DEN_JAX",1,2010,"JAX","DEN",1,"JAX",7
"9","2010_01_DET_CHI",1,2010,"CHI","DET",1,"CHI",5
"10","2010_01_GB_PHI",1,2010,"PHI","GB",1,"GB",-7
"11","2010_01_IND_HOU",1,2010,"HOU","IND",1,"HOU",10
"12","2010_01_MIA_BUF",1,2010,"BUF","MIA",0.5,"MIA",-5
"13","2010_01_MIN_NO",1,2010,"NO","MIN",0,"NO",5
"14","2010_01_OAK_TEN",1,2010,"TEN","LV",1,"TEN",25
"15","2010_01_SD_KC",1,2010,"KC","LAC",0,"KC",7
"16","2010_01_SF_SEA",1,2010,"SEA","SF",1,"SEA",25
"17","2010_02_ARI_ATL",2,2010,"ATL","ARI",1,"ATL",34
"18","2010_02_BAL_CIN",2,2010,"CIN","BAL",1,"CIN",5
"19","2010_02_BUF_GB",2,2010,"GB","BUF",1,"GB",27
"20","2010_02_CHI_DAL",2,2010,"DAL","CHI",0.666666666666667,"CHI",-7
"21","2010_02_HOU_WAS",2,2010,"WAS","HOU",0.5,"HOU",-3
"22","2010_02_JAX_SD",2,2010,"LAC","JAX",1,"LAC",25
"23","2010_02_KC_CLE",2,2010,"CLE","KC",0,"KC",-2
"24","2010_02_MIA_MIN",2,2010,"MIN","MIA",1,"MIA",-4
"25","2010_02_NE_NYJ",2,2010,"NYJ","NE",1,"NYJ",14
"26","2010_02_NO_SF",2,2010,"SF","NO",0,"NO",-3
"27","2010_02_NYG_IND",2,2010,"IND","NYG",1,"IND",24
"28","2010_02_PHI_DET",2,2010,"DET","PHI",1,"PHI",-3
"29","2010_02_PIT_TEN",2,2010,"TEN","PIT",1,"PIT",-8
"30","2010_02_SEA_DEN",2,2010,"DEN","SEA",1,"DEN",17
"31","2010_02_STL_OAK",2,2010,"LV","LA",0.75,"LV",2
"32","2010_02_TB_CAR",2,2010,"CAR","TB",0,"TB",-13
"33","2010_03_ATL_NO",3,2010,"NO","ATL",0.5,"ATL",-3
"34","2010_03_BUF_NE",3,2010,"NE","BUF",1,"NE",8
"35","2010_03_CIN_CAR",3,2010,"CAR","CIN",0,"CIN",-13
"36","2010_03_CLE_BAL",3,2010,"BAL","CLE",0.5,"BAL",7
